date,n_stocks,n_tradable,n_limit_hit,pct_tradable
2025-04-07,197,47,150,23.9
2025-04-08,197,49,148,24.9
2025-04-09,197,54,143,27.4
2025-04-10,197,52,145,26.4
2025-04-11,197,52,145,26.4
2025-04-14,197,56,141,28.4
2025-04-15,197,55,142,27.9
2025-04-16,198,56,142,28.3
2025-04-17,198,54,144,27.3
2025-04-18,197,53,144,26.9
2025-04-21,198,56,142,28.3
2025-04-22,198,61,137,30.8
2025-04-23,198,58,140,29.3
2025-04-24,198,59,139,29.8
2025-04-25,198,55,143,27.8
2025-04-28,198,57,141,28.8
2025-04-29,198,56,142,28.3
2025-04-30,198,56,142,28.3
2025-05-06,198,58,140,29.3
2025-05-07,198,60,138,30.3
2025-05-08,198,63,135,31.8
2025-05-09,198,61,137,30.8
2025-05-12,198,63,135,31.8
2025-05-13,198,57,141,28.8
2025-05-14,198,59,139,29.8
2025-05-15,198,55,143,27.8
2025-05-16,198,56,142,28.3
2025-05-19,198,58,140,29.3
2025-05-20,198,58,140,29.3
2025-05-21,198,52,146,26.3
2025-05-22,198,54,144,27.3
2025-05-23,198,53,145,26.8
2025-05-26,198,57,141,28.8
2025-05-27,198,55,143,27.8
2025-05-28,198,57,141,28.8
2025-05-29,198,58,140,29.3
2025-05-30,198,60,138,30.3
2025-06-03,198,53,145,26.8
2025-06-04,198,57,141,28.8
2025-06-05,198,55,143,27.8
2025-06-06,197,59,138,29.9
2025-06-09,197,57,140,28.9
2025-06-10,198,55,143,27.8
2025-06-11,198,58,140,29.3
2025-06-12,198,54,144,27.3
2025-06-13,198,55,143,27.8
2025-06-16,198,55,143,27.8
2025-06-17,198,55,143,27.8
2025-06-18,198,57,141,28.8
2025-06-19,198,55,143,27.8
2025-06-20,198,54,144,27.3
2025-06-23,198,55,143,27.8
2025-06-24,198,53,145,26.8
2025-06-25,198,54,144,27.3
2025-06-26,198,52,146,26.3
2025-06-27,198,54,144,27.3
2025-06-30,198,56,142,28.3
2025-07-01,198,58,140,29.3
2025-07-02,198,58,140,29.3
2025-07-03,198,54,144,27.3
2025-07-04,198,52,146,26.3
2025-07-07,198,55,143,27.8
2025-07-08,198,51,147,25.8
2025-07-09,198,50,148,25.3
2025-07-10,198,51,147,25.8
2025-07-11,198,49,149,24.7
2025-07-14,198,52,146,26.3
2025-07-15,198,57,141,28.8
2025-07-16,198,58,140,29.3
2025-07-17,198,53,145,26.8
2025-07-18,198,53,145,26.8
2025-07-21,198,55,143,27.8
2025-07-22,198,52,146,26.3
2025-07-23,198,52,146,26.3
2025-07-24,198,57,141,28.8
2025-07-25,198,57,141,28.8
2025-07-28,198,56,142,28.3
2025-07-29,199,56,143,28.1
2025-07-30,199,54,145,27.1
2025-07-31,199,52,147,26.1
2025-08-01,199,51,148,25.6
2025-08-04,199,54,145,27.1
2025-08-05,199,53,146,26.6
2025-08-06,199,52,147,26.1
2025-08-07,199,54,145,27.1
2025-08-08,199,52,147,26.1
2025-08-11,199,55,144,27.6
2025-08-12,199,52,147,26.1
2025-08-13,199,55,144,27.6
2025-08-14,199,60,139,30.2
2025-08-15,199,56,143,28.1
2025-08-18,199,56,143,28.1
2025-08-19,199,56,143,28.1
2025-08-20,199,57,142,28.6
2025-08-21,199,55,144,27.6
2025-08-22,199,59,140,29.6
2025-08-25,199,56,143,28.1
2025-08-26,199,57,142,28.6
2025-08-27,199,57,142,28.6
2025-08-28,199,52,147,26.1
2025-08-29,199,56,143,28.1
2025-09-01,198,57,141,28.8
2025-09-02,198,59,139,29.8
2025-09-03,198,58,140,29.3
2025-09-04,198,60,138,30.3
2025-09-05,198,57,141,28.8
2025-09-08,199,56,143,28.1
2025-09-09,199,54,145,27.1
2025-09-10,199,57,142,28.6
2025-09-11,199,55,144,27.6
2025-09-12,199,59,140,29.6
2025-09-15,199,60,139,30.2
2025-09-16,199,59,140,29.6
2025-09-17,200,58,142,29.0
2025-09-18,200,56,144,28.0
2025-09-19,200,56,144,28.0
2025-09-22,200,56,144,28.0
2025-09-23,200,62,138,31.0
2025-09-24,200,57,143,28.5
2025-09-25,200,59,141,29.5
2025-09-26,200,65,135,32.5
2025-09-29,200,70,130,35.0
2025-09-30,200,76,124,38.0
2025-10-09,200,69,131,34.5
2025-10-10,200,68,132,34.0
2025-10-13,200,75,125,37.5
2025-10-14,200,74,126,37.0
2025-10-15,200,71,129,35.5
2025-10-16,200,73,127,36.5
2025-10-17,200,71,129,35.5
2025-10-20,200,69,131,34.5
2025-10-21,200,70,130,35.0
2025-10-22,200,68,132,34.0
2025-10-23,200,66,134,33.0
2025-10-24,200,68,132,34.0
2025-10-27,200,67,133,33.5
2025-10-28,200,67,133,33.5
